name,address,lat,lon,naics,owner_last,owner_firs,owner_midd
BUSINESS MIND,505 N Warwick Ave Baltimore MD 21223,39.293604999999999,-76.656114000000002,"561499",SMITH,MELISSA,NULL
YRNEH LLC,407 Font Hill Ave Baltimore MD 21223,39.279440999999998,-76.662930000000003,"531210",HOUSEHOLDER,DAVID,TIMMY
UNIVERSITY OF MARYLAND,3192 Wilkens Ave Baltimore MD 21223,39.275103999999999,-76.668163000000007,"519120",CASSADAY,SARAH,NULL
REAL ESTATE HUNTER,612 S Monroe St Baltimore MD 21223,39.280692000000002,-76.646707000000006,"531210",LOOMIS,EMILY,NULL
FAS JR'S AUTO SERVICE,2368 Wilkens Ave Baltimore MD 21223,39.280110000000001,-76.653103999999999,"811118",JORDAN,ARLENE,NULL
C S HYDRAMATIC SERVICE,2040 Frederick Ave Baltimore MD 21223,39.286102999999997,-76.649462000000000,"541990",CONEY,DAVID,NULL
MCDONALDS,3270 Stafford St Baltimore MD 21229,39.280106000000004,-76.671107000000006,"722513",HENDRICKSON,RALPH,JACK
RENOVATION PLANNING AND PREPAR,3875 W Franklin St Baltimore MD 21229,39.292434999999998,-76.680306000000002,"236118",CHAVEZ,PAUL,NULL
SMILE INDO AMERICAN FOOD LLC,910 Poplar Grove St Baltimore MD 21216,39.298346000000002,-76.665391999999997,"445110",BECK,TAMA,NULL
"VICTORIOUS BUILDING, CONCRETE, WATERPROOFING AND RESTORATION",3087 Arunah Ave Baltimore MD 21216,39.294899999999998,-76.668430000000001,"236118",SLOAN,VINCENZO,JOHN
LOWMAN TRUCKING,910 Wilmington Ave Baltimore MD 21223,39.274932000000000,-76.667030999999994,"484110",SLAUGH,MITCHELL,NULL
COOPER PROPERTY MANAGEMENT LLC,932 McKean Ave Baltimore MD 21217,39.299115000000000,-76.646910000000005,"561110",FONTES,MICHAEL,NULL
CATON CONVENIENCE STORE,38 N Monastery Ave Baltimore MD 21229,39.287855000000000,-76.677040000000005,"445110",ELLSWORTH,THOMAS,NULL
ACADEMY OF SUCCESS RECOVERY COMMUNITY CENTER,180 S Franklintown Rd Baltimore MD 21223,39.285010999999997,-76.658602000000002,"624190",LAMPE,FREDDIE,NULL
PRINT ON INC,2225 W Baltimore St Baltimore MD 21223,39.287775000000003,-76.652056000000002,"443142",LEGORE,LEON,CARLTON
"WHITLOCK'S WINDOW TINTING, LLC",2771 Wilkens Ave Baltimore MD 21223,39.276155000000003,-76.660467999999995,"999990",MAGEE,SARAH,NULL
BB&E CONTRACTORS LLC,284 N Mount St Baltimore MD 21223,39.291873000000002,-76.644157000000007,"238990",FRAIN,TYRONE,NULL
"N & N TOWING, AUTOMOTIVE SERVICES, INC.",3235 Lohrs Ln Baltimore MD 21229,39.284678000000000,-76.671334999999999,"488410",CHRISTMAN,LINDA,MORGAN
"CJD INVESTMENTS, LLC",1549 W Lombard St Baltimore MD 21223,39.286211000000002,-76.641819999999996,"523910",LANE,JUDITH,CLARA
TREBOR RECORDS INC.,3662 W Saratoga St Baltimore MD 21229,39.291100000000000,-76.677704000000006,"443142",KEY,ALEJANDRO,ED
DENNEEN'S BEAUTY SALON,3428 W Saratoga St Baltimore MD 21229,39.290342000000003,-76.674092000000002,"812112",QUINONES,LUCIA,NULL
CAROLYNBLAKENEY.COM,256 N Monastery Ave Baltimore MD 21229,39.289817999999997,-76.674374999999998,"999990",BUZZELL,JOSEPHINE,MARITA
BCLASSIE SPECIAL EVENTS,2158 W Fayette St Baltimore MD 21223,39.289490000000001,-76.650988999999996,"541410",ROWLAND,JOHN,JAMES
AGBAJE LAW FIRM PC,2132 Frederick Ave Baltimore MD 21223,39.285741999999999,-76.651280999999997,"541110",CASTILLO,LYNNETTE,NAOMI
FLOYD S AUTO,649 S Smallwood St Baltimore MD 21223,39.279764999999998,-76.649491999999995,"811111",WETZEL,RUTH,MARGARET
THE 'A CLEAN,1957 W Saratoga St Baltimore MD 21223,39.291792999999998,-76.648116999999999,"561790",CHAGNON,PATRICIA,NULL
ST JOSEPH'S PASSIONIST MONASTERY CATHOLIC CHURCH,3549 Old Frederick Rd Baltimore MD 21229 USA,39.282786999999999,-76.676837000000006,"813110",LEO,COREEN,TAMMY
AUTOMATIC MUSIC MACHINES,211 S Pulaski St Baltimore MD 21223,39.284835000000001,-76.649687999999998,"713990",STONE,ELEANOR,GRACE
URBAN FLOORING OUTLET,2113 W Pratt St Baltimore MD 21223,39.284832999999999,-76.650358999999995,"442210",GUTIERREZ,MARCO,NULL
ORNAMENTAL IRON & FAB MET PDTS,2675 Hafer St Baltimore MD 21223,39.282511000000000,-76.659059999999997,"238990",EDMONDS,MICHELLE,NULL
TRINITY HAIR BOUTIQUE,1919 Christian St Baltimore MD 21223,39.282561000000001,-76.646856999999997,"448120",LIPSCOMB,LESLIE,LEON
AJD CLEANING SERVICE,755 Denison St Baltimore MD 21229,39.295800000000000,-76.673439000000002,"561790",BIELAK,FLOY,NULL
THE TAX OUTLET,2049 W Pratt St Baltimore MD 21223,39.284841999999998,-76.649420000000006,"541213",BLYTHE,EDWARD,NULL
JOHNS HOPKINS FAMILY CENTER,724 Edgewood St Baltimore MD 21229,39.295859000000000,-76.675044999999997,"561499",SPARKS,EDWARD,HENRY
MCI GEN ADMIN PATUXENT IN,311 N Calverton Rd Baltimore MD 21223,39.292704000000001,-76.660185999999996,"517911",JOHNSON,NICOLE,NULL
SUBWAY,2343 Frederick Ave Baltimore MD 21223,39.284218000000003,-76.653295000000000,"722513",HOWIE,ROY,RONALD
EMPOWERED CLEANING COMPANY LLC,3131 W Lexington St Baltimore MD 21229,39.288449999999997,-76.673917000000003,"561720",ENSOR,DAVID,ANTONIO
ALICIA PRYOR,375 Denison St Baltimore MD 21229,39.291519999999998,-76.674355000000006,"561990",CHOI,DORIS,LIZBETH
BALTIMORE JANITORIAL SUPPLY COMPANY,409 S Caton Ave Baltimore MD 21229,39.279463999999997,-76.671296999999996,"453998",MONTELONGO,BRIAN,MICHAEL
TONY JEROME SMITH,2530 Calverton Heights Ave Baltimore MD 21216,39.297812999999998,-76.656963000000005,"999990",RAMIREZ,VANESSA,SAGE
SGY TRANSPORTATION LLC,728 Allendale St Baltimore MD 21229,39.296056999999998,-76.678731999999997,"488999",ABNEY,JOSHUA,LOUIS
INVESTMENTS PLUS,480 Wellesley St Baltimore MD 21229,39.279451000000002,-76.668380999999997,"999990",RYLEE,JAYSON,NULL
TOWING,2259 Wilkens Ave Baltimore MD 21223,39.280289000000003,-76.651267000000004,"488410",BOWENS,RICHARD,NULL
"AHNS FOOD CO., INC.",2251 Edmondson Ave Baltimore MD 21223,39.294637000000002,-76.652548999999993,"445110",HAUSS,PETER,NULL
CONVENIENT LAUNDRY SERVICES,2207 Ramsay St Baltimore MD 21223,39.282806000000001,-76.651404999999997,"812310",DOWNING,ALEXANDER,EDWARD
THOMAS STEFPHON ENTERPRISES,2359 Lauretta Ave Baltimore MD 21223,39.293959000000001,-76.654112999999995,"561499",DOMKE,HEATHER,HEATHER
FRANKLIN SQUARE SCHOOL,242 N Mount St Baltimore MD 21223,39.291249999999998,-76.644158000000004,"531110",BROUGHTON,CAREY,NULL
NORRIS A DICKERSON REV,222 N Monastery Ave Baltimore MD 21229,39.289552000000000,-76.674700999999999,"561990",COLE,ALYSE,MARLENE
A1 AUTO GLASS & TINTING,3170 Stafford St Baltimore MD 21229,39.279780000000002,-76.669430000000006,"811122",SCHAEFER,DUANE,NULL
CEE PRODUCTIONS LLC,3540 W Lexington St Baltimore MD 21229,39.290675999999998,-76.677032999999994,"512120",HENDERSON,DEWEY,LAWRENCE
BAY ISLAND SEAFOOD CARRYOUT,1905 Dover St Baltimore MD 21223,39.284590000000001,-76.646872000000002,"445220",KHAN,MARCUS,NULL
J M BUSINESS ASOCIATES INC,2835 Edmondson Ave Baltimore MD 21223,39.294088000000002,-76.663843000000000,"999990",ESPARZA,ALYSHA,GRETA
MONTGOMERY PARK,1000 S Monroe St Baltimore MD 21230,39.276094000000001,-76.644609000000003,"236220",SANTOYO,CHARLES,NULL
A BETTER LASER CARTRIDGE,211 S Pulaski St Baltimore MD 21223,39.284835000000001,-76.649687999999998,"424120",HUSSAIN,STEVEN,HARRY
MARTINIS CRAB HOUSE,1836 W Pratt St Baltimore MD 21223 USA,39.285331999999997,-76.646281000000002,"722410",WILSON,ERIC,NULL
LOVE TO LIFE CHURCH MINISTRY,128 S Fulton Ave Baltimore MD 21223,39.285939999999997,-76.645335000000003,"813110",MILLER,ELIZABETH,ANNA
LEE'S LOVE NEST,2884 Edmondson Ave Baltimore MD 21223,39.294629999999998,-76.664630000000002,"722410",FRANCOIS,FLOSSIE,ELIZABETH
CATAPULT CONSTRUCTION LLC,3145 Phelps Ln Baltimore MD 21229,39.287709000000000,-76.670331000000004,"236115",BUSH,JASON,NULL
T & D COMMERCIAL CLEANING LLP,2555 W Lafayette Ave Baltimore MD 21216,39.298130000000000,-76.658366000000001,"561790",JIMENEZ,PATRICK,NULL
CAREFREE KITCHENS,2901 Strickland St Baltimore MD 21223,39.276769000000002,-76.664794999999998,"337110",TIDWELL,JOHN,NULL
WESTSIDE YOUTH OPPORTUNITY CTR,962 N Parrish St Baltimore MD 21217,39.299596999999999,-76.642413000000005,"624110",CROSON,MARY,NULL
X-CEL ENTERTAINMENT,3606 Frederick Ave Baltimore MD 21229,39.282055999999997,-76.676433000000003,"711510",RODRIGUES,YESENIA,ANITA
SAINT BENEDICTS HEAD START,2613 Wilkens Ave Baltimore MD 21223 USA,39.278609000000003,-76.656306999999998,"624410",LEBARRON,NANCY,NULL
YVONNE'S MALL,321 N Culver St Baltimore MD 21229,39.289451000000000,-76.673204999999996,"999990",NIEVES,AMBER,SIMONNE
STUDIO MONTICELLO,2316 W Lanvale St Baltimore MD 21216,39.297215000000001,-76.653613000000007,"999990",LEWIS,JEREMY,NULL
LIGHT OF LIFE,344 N Hilton St Baltimore MD 21229,39.291696999999999,-76.672915000000003,"999990",MOFFITT,ANDREA,NULL
TERRIS LITTLE ANGELS DAYCARE,3310 W Franklin St Baltimore MD 21229,39.292965000000002,-76.673310000000001,"624410",WALLACE,CASEY,PENNY
LA BON BOUTIQUE L.L.C.,2000 W Baltimore St Baltimore MD 21223,39.288570999999997,-76.649209999999997,"448120",TROTTER,CHERYL,NULL
GOMEZ CITY GROCERY LLC,2149 W Lexington St Baltimore MD 21223 USA,39.290250000000000,-76.651449000000000,"445110",RAINES,KIMBERLY,NULL
"REGIS TITLE & ABSTRACT CO., LLC",2778 W Mosher St Baltimore MD 21216,39.299517000000002,-76.662253000000007,"446120",SANTY,DUSTIN,NULL
ANGEL'S TOUCH CHILDCARE,265 Edgewood St Baltimore MD 21229,39.290604000000002,-76.675433999999996,"624410",LITHGOW,RICHARD,ALAN
"STEWART, TYRONE",2815 W Lafayette Ave Baltimore MD 21216,39.297888999999998,-76.663171000000006,"811310",BAKER,NANCY,NULL
JOHN G HETZELL & SON,108 Harmison St Baltimore MD 21223,39.285600000000002,-76.649280000000005,"332322",HOANG,HEIDI,NULL
CAPITOL CARBONIC CORPORATION,432 S Caton Ave Baltimore MD 21229,39.279384000000000,-76.671948000000000,"424690",CHACON,DANIEL,DONALD
CHURCH OF GOD CHRIST INC,86 S Morley St Baltimore MD 21229,39.285437999999999,-76.675714999999997,"813110",MITCHELL,WILLIAM,NULL
FORTIS SYSTEMS SOLUTION,2476 Arunah Ave Baltimore MD 21216,39.295693000000000,-76.656041000000002,"561499",MEEHAN,MARSHALL,NULL
S&A1 ENTERPRISES LLC,2317 Arunah Ave Baltimore MD 21216 USA,39.295394999999999,-76.654134999999997,"484110",WEATHERBY,REMA,JOLINE
NEW DUFFY'S RESTAURANT,3446 Frederick Ave Baltimore MD 21229,39.281556000000002,-76.674757000000000,"722511",MIRANDA,WESLEY,MAX
XL HEALTH INC,1000 S Monroe St Baltimore MD 21230,39.276094000000001,-76.644609000000003,"621610",PLEAS,JENNIFER,LOUISE
SHINING PATH MINISTRIES,662 N Payson St Baltimore MD 21217,39.295839999999998,-76.649292000000003,"813110",MORALES,JOSHUA,JAMES
ADL DREAM MANAGEMENT,2016 Penrose Ave Baltimore MD 21223,39.291302000000002,-76.649062999999998,"531210",RICHARDS,MAE,NULL
ARAY OF LIGHT ASSISTED LIVING,3086 Harlem Ave Baltimore MD 21216,39.295876000000000,-76.668218999999993,"623110",JONES,ANN,LISA
"LINEAR, RAYMOND",136 Edgewood St Baltimore MD 21229 USA,39.289977000000000,-76.676760999999999,"541921",STAFF,DARA,NULL
GUY D ALEXANDER DDS,3502 W Caton Ave Baltimore MD 21229 USA,39.287460000000003,-76.674890000000005,"621210",BORTHWICK,SYDNEY,RAYMOND
BILL WILD KITCHEN,11 N Gorman Ave Baltimore MD 21223,39.288020000000003,-76.653452000000001,"722511",MATTHEWS,CONRAD,RYAN
"BRUNCHIES, LLC",3201-3235 MD-144 Baltimore MD 21229,39.280456000000001,-76.670001999999997,"722511",SCHRADER,CHRISTINE,NULL
BAC T/A CHEF'S TASTE,1749 Cole St Baltimore MD 21223,39.281962000000000,-76.644112000000007,"311340",GOPAL,MICHELE,NULL
S SUWANICH MD,413 S Vincent St Baltimore MD 21223,39.283116999999997,-76.642719000000000,"621111",RODDENBERRY,ALBERT,FRANK
OASIS SNACKS AND LIQUOR,826 N Payson St Baltimore MD 21217,39.297811000000003,-76.649398000000005,"445310",ATWELL,WILLIAM,NULL
LOCKERMN-BUNDY ELEMENTARY SCHOOL,N Brice St Baltimore MD 21223,39.292082000000001,-76.649512999999999,"611110",KUNZE,JOSEPH,MARK
POLICE DEPT- SOUTHWESTERN DIST,470 Hurley Ave Baltimore MD 21223,39.278548000000001,-76.664451000000000,"922120",WARE,MICHAEL,JONAH
THE CENTRAL BAPTIST CHURCH OF BALTIMORE CITY,2031 W Baltimore St Baltimore MD 21223,39.287891999999999,-76.649102999999997,"813110",WASHINGTON,LORENZA,DEMETRIUS
E NEAL MDSON SCHLRSHIP PRGRAM,785 N Grantley St Baltimore MD 21229,39.297167999999999,-76.675246000000001,"561990",SEAL,FRANCISCO,DOUGLAS
LITTLE TAVERN,110 N Gilmor St Baltimore MD 21223,39.289805999999999,-76.642600000000002,"722410",MCPHETRIDGE,LUPE,NULL
WESTSIDE DELI,2421 Frederick Ave Baltimore MD 21223,39.282389999999999,-76.655287000000001,"722513",BERKO,LORA,SIOBHAN
CHU'S BODY SHOP,283 S Hilton St Baltimore MD 21229,39.281458999999998,-76.671835000000002,"811121",MILLS,TAMARA,FRANKIE
SONG CARRY OUT,1814 Edmondson Ave Baltimore MD 21223 USA,39.295344000000000,-76.646592999999996,"722513",MCQUEEN,THOMAS,NULL
"TIME PRINTERS, INC.",251 N Warwick Ave Baltimore MD 21223,39.290975000000003,-76.655636000000001,"323111",FLAHERTY,BRANDI,LETICIA
A B TRUCKING INC,3087 Arunah Ave Baltimore MD 21216,39.294899999999998,-76.668430000000001,"484110",FITZGERALD,MAN,NULL
DELTA CONTRACTORS & ASSOCIATES LLC,3225 Strickland St Baltimore MD 21229,39.277419999999999,-76.670331000000004,"238140",BRAUN,LEONA,JESSIE
WINGS THINGS WILKENS AVE,3188 Wilkens Ave Baltimore MD 21223,39.275128000000002,-76.668092999999999,"722513",COSTER,TERRY,NULL
HEAVEN SENT ME CLEANING SERVICE,2878 Old Franklin St Baltimore MD 21223,39.293253000000000,-76.664640000000006,"541618",MARCUM,DONALD,NULL
BLACKTIE EATERY & CATERING,1705 Edmondson Ave Baltimore MD 21223 USA,39.295068999999998,-76.644409999999993,"722320",MARTINES,MONICA,CHARLENE
HOLLINS STREET PHOENIX LP,50 S Calverton Rd Baltimore MD 21223,39.287104999999997,-76.653064999999998,"531110",BROTHERTON,VERNON,LEROY
CROSS TRACK LIQUORS,2675 W Baltimore St Baltimore MD 21223,39.287416999999998,-76.659381999999994,"445310",COOPER,PATRICIA,NULL
VERONICA THOMAS BENEFITS COUNSELING SERVICES LLC,1860 W Lexington St Baltimore MD 21223,39.290773999999999,-76.646383000000000,"541990",ROHLFING,MARION,NULL
SUDSVILLE LAUNDRY,1849 Frederick Ave Baltimore MD 21223,39.286825999999998,-76.646260999999996,"423850",GOINS,BRANDON,ANDREW
VERA EDMONDS,2832 W Mulberry St Baltimore MD 21223,39.292786999999997,-76.663027999999997,"999990",IPPOLITO,CAITLYN,NULL
STAR MARKET,208 N Monroe St Baltimore MD 21223,39.290742000000002,-76.647300000000001,"445110",LAU,MICHELLE,LINDA
VIVA HOUSE BALTIMORE CATHLIC WORKERS INC,1726 Boyd St Baltimore MD 21223,39.286909999999999,-76.643900000000002,"813110",TORRES,ROBERT,NULL
SOUTH V LIQUOR AND GROCERY,105 S Mount St Baltimore MD 21223 USA,39.285941999999999,-76.643371999999999,"424820",JONES ENTERTAINMENT LLC,NULL,NULL
"KAREN M. SMITH PDS, LLC",568 N Fulton Ave Baltimore MD 21223,39.294783000000002,-76.645765999999995,"999990",ROBERTS,JESUS,STEVIE
PENN OPTICAL CO LTD,2421 Frederick Ave Baltimore MD 21223,39.282389999999999,-76.655287000000001,"621320",RIES,JAMES,NULL
SECOND CHANCE INTERNATIONAL MI,2624 Harlem Ave Baltimore MD 21216,39.295768000000002,-76.660567000000000,"541990",BOGUE,ROCHELLE,LATONIA
HAIR M FAMILY HAIR CARE,1705 Edmondson Ave Baltimore MD 21223 USA,39.295068999999998,-76.644409999999993,"812111",MANNS,EMILY,LETTY
OPEN ARMS SUPPORTIVE PROGRAM,1959 Penrose Ave Baltimore MD 21223,39.291086999999997,-76.648105999999999,"999990",CANTU,POLLY,NULL
NEW JERUSALEM PRAISE TABERNACLE,2512 Arunah Ave Baltimore MD 21216 USA,39.295672000000003,-76.656874999999999,"999990",RUIZ,GAIL,CARMEN
RPI BILLING SOLUTIONS,2512 W Mosher St Baltimore MD 21216 USA,39.299702000000003,-76.657059000000004,"999990",ULLMER,WILLIE,EVA
NEW TABERNACLE BAPTIST CHURCH,148 S Pulaski St Baltimore MD 21223,39.285378000000001,-76.650204000000002,"813110",LEETCH,MARTHA,DIANE
"TRIFECTA, LLC",2843 Harlem Ave Baltimore MD 21216,39.295352000000001,-76.663728000000006,"999990",TAMAYO,WILLIAM,NULL
THE TAX WISE SYSTEM INC,2474 Frederick Ave Baltimore MD 21223,39.283746000000001,-76.655669000000003,"561499",CREGO,DERRICK,CHAUNCEY
LA AUTO SERVICE,2150 Edmondson Ave Baltimore MD 21223,39.295662999999998,-76.651396000000005,"811118",WI,SUE,KATHY
RENT-A-CENTER,159 Landwehr Ln Baltimore MD 21223,39.285063000000001,-76.653222000000000,"532210",RUCKER,CARRIE,NULL
DOSWELL CATHEDRAL CHURCH OF GOD AND CHRIST,574 Doswell Ave Baltimore MD 21223,39.294429999999998,-76.658043000000006,"813110",WILSON,JAMES,MICHEAL
THATS MY MECHANIC AUTO REPAIR,32 S Franklintown Rd Baltimore MD 21223,39.286574000000002,-76.659126000000001,"811111",MCMURRAY,DAVID,NULL
QUINCOLE LLC,174 Edgewood St Baltimore MD 21229,39.290092000000001,-76.676613000000003,"561990",HUTCHINSON,MARLON,PHILLIP
ACADEMY OF SUCCESS,2586 Frederick Ave Baltimore MD 21223,39.282761999999998,-76.657203999999993,"713940",LEPAGE,BERNARD,AL
"UNITED OPERATING CO., INC.",991 Millington Ave Baltimore MD 21223,39.278013999999999,-76.655232999999996,"561499",MOBBS,ELIZABETH,BARBARA
"YUNJUNG HUH, INC.",2354 Wilkens Ave Baltimore MD 21223,39.280265999999997,-76.652889000000002,"999990",PAYAN,PATRICIA,NICOLE
KIT HUNG INC,1749 Ramsay St Baltimore MD 21223,39.283009000000000,-76.644409999999993,"561990",HEAL,JESSICA,DONNA
"PLEASANT HOUSING SUPPORTIVE PROGRAM, INC.",10 N Gilmor St Baltimore MD 21223,39.288894999999997,-76.642613999999995,"721310",HALL,ROBERT,NULL
"JAWAD, INC.",3352 W Baltimore St Baltimore MD 21229,39.286012999999997,-76.672746000000004,"999990",VONK,IRENE,NULL
"ANAYA GUTTERS SPECIALISTS, INC",2009 Eagle St Baltimore MD 21223 USA,39.280735000000000,-76.647619000000006,"238390",BOWMAN,BETTY,NULL
ALWAYS WATERPROOFING,3341 Dulany St Baltimore MD 21229,39.274408999999999,-76.674255000000002,"238990",GIBSON,EDNA,LITA
KATHERINE BEAUTY SALON,514 Denison St Baltimore MD 21229,39.292935000000000,-76.674285999999995,"812112",KIMBLE,MARIA,NULL
T & M MARKET,605 Allendale St Baltimore MD 21229,39.294189000000003,-76.678184000000002,"445110",WEIMAN,JASON,NULL
BROWN RONNIE CHURCH,2258 W Saratoga St Baltimore MD 21223,39.291975000000001,-76.652511000000004,"813110",TORRES,RUTH,STELLA
CC PACKAGE GOODS,1779 W Lanvale St Baltimore MD 21217,39.297429000000001,-76.645409000000001,"445310",GLASS,NORMAN,NULL
L G GARAGE,1668 Hollins St Baltimore MD 21223,39.287585000000000,-76.643310999999997,"811111",GLAZE,FREDERICK,NULL
SHIELDS PLACE PROPERTIES LLC,1713 Hollins St Baltimore MD 21223,39.287126999999998,-76.644182999999998,"531312",LOZADA,ESTHER,NULL
TAUS UPHOSTERY CO,2321 W Mulberry St Baltimore MD 21223,39.292656000000001,-76.652857999999995,"999990",BATES,JACK,NULL
